id,titulo,imagen,imagenes,categoria_id,categoria_nombre,subcategoria_id,subcategoria_nombre,producto_descripcion,precio
IND-YELLOWBOX-S-55,CAJA ORGANIZACIÓN INDUSTRIAL YELLOW BOX S,https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-1.jpg,https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-1.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-3.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-2.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-4-600x600.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-5-600x600.jpg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,YELLOW_BOX,YELLOW BOX,"Dimensiones: 60.5x39x38.5cm
Capacidad: 55L",105
IND-YELLOWBOX-M-100,CAJA ORGANIZACIÓN INDUSTRIAL YELLOW BOX M,https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-1.jpg,https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-1.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-3.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-2.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-4-600x600.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-5-600x600.jpg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,YELLOW_BOX,YELLOW BOX,"Dimensiones: 75.5x51x36.5cm
Capacidad: 100L",150
IND-YELLOWBOX-L-150,CAJA ORGANIZACIÓN INDUSTRIAL YELLOW BOX L,https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-1.jpg,https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-1.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-3.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-2.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-4-600x600.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-5-600x600.jpg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,YELLOW_BOX,YELLOW BOX,"Dimensiones: 92x58x41.5cm
Capacidad: 150L",200
IND-YELLOWBOX-XS-CNGRO-25,CAJA ORGANIZACIÓN INDUSTRIAL YELLOW BOX CON CLIP NEGRO XS,https://hexibo.com/wp-content/uploads/2023/07/yellowbox-clip-negro-600x600.webp,https://hexibo.com/wp-content/uploads/2023/07/yellowbox-clip-negro-600x600.webp | https://hexibo.com/wp-content/uploads/2023/07/yellowbox-clip-negro-2-300x300.webp | https://hexibo.com/wp-content/uploads/2023/07/yellowbox-clip-negro-3.webp | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-5-300x300.jpg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,YELLOW_BOX_CLIP,YELLOW BOX CON CLIP,"Dimensiones: 45×34.5×23.5cm
Capacidad: 25L",75
IND-YELLOWBOX-S-CNEGRO-60,CAJA ORGANIZACIÓN INDUSTRIAL YELLOW BOX CON CLIP NEGRO S,https://hexibo.com/wp-content/uploads/2023/07/yellowbox-clip-negro-600x600.webp,https://hexibo.com/wp-content/uploads/2023/07/yellowbox-clip-negro-600x600.webp | https://hexibo.com/wp-content/uploads/2023/07/yellowbox-clip-negro-2-300x300.webp | https://hexibo.com/wp-content/uploads/2023/07/yellowbox-clip-negro-3.webp | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-5-300x300.jpg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,YELLOW_BOX_CLIP,YELLOW BOX CON CLIP,"Dimensiones: 63x43x34cm
Capacidad: 60L",120
IND-YELLOWBOX-M-ABATIBLE-80,CAJA ORGANIZACIÓN INDUSTRIAL CON TAPADERA ABATIBLE,https://hexibo.com/wp-content/uploads/2023/07/Captura-de-pantalla-2023-07-08-a-las-13.51.27-600x523.png,https://hexibo.com/wp-content/uploads/2023/07/Captura-de-pantalla-2023-07-08-a-las-13.51.27-600x523.png | https://hexibo.com/wp-content/uploads/2023/07/Captura-de-pantalla-2023-07-08-a-las-13.52.25-600x608.png | https://hexibo.com/wp-content/uploads/2023/07/Captura-de-pantalla-2023-07-08-a-las-13.52.45-600x616.png | https://hexibo.com/wp-content/uploads/2023/07/Captura-de-pantalla-2023-07-08-a-las-13.53.02.png,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,TAPADERA_ABATIBLE,TAPADERA ABATIBLE,"DIMENSIONES 70*45*36.5 CM

CAPACIDAD 80 LITROS",130
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
